dt, date, hour, minutes, seconds, lat, lon, elevation
2012-10-13T12:43:22.505Z,2012-10-13,12,43,22,51.506855,-0.074110,23.71,
2012-10-13T12:43:25.000Z,2012-10-13,12,43,25,51.506858,-0.074113,21.96,
2012-10-13T12:43:28.000Z,2012-10-13,12,43,28,51.506858,-0.074113,21.96,
2012-10-13T12:43:31.000Z,2012-10-13,12,43,31,51.506858,-0.074113,21.96,
2012-10-13T12:43:34.000Z,2012-10-13,12,43,34,51.506858,-0.074113,21.96,
2012-10-13T12:43:37.000Z,2012-10-13,12,43,37,51.506858,-0.074113,21.96,
2012-10-13T12:43:40.000Z,2012-10-13,12,43,40,51.506858,-0.074113,21.96,
2012-10-13T12:43:43.000Z,2012-10-13,12,43,43,51.506858,-0.074113,21.96,
2012-10-13T12:43:46.000Z,2012-10-13,12,43,46,51.506858,-0.074113,21.96,
2012-10-13T12:43:49.000Z,2012-10-13,12,43,49,51.506858,-0.074113,21.96,
2012-10-13T12:43:52.000Z,2012-10-13,12,43,52,51.506858,-0.074113,21.96,
2012-10-13T12:43:55.000Z,2012-10-13,12,43,55,51.506858,-0.074113,21.96,
2012-10-13T12:43:58.000Z,2012-10-13,12,43,58,51.506858,-0.074113,21.96,
2012-10-13T12:44:01.000Z,2012-10-13,12,44,01,51.506858,-0.074113,21.96,
2012-10-13T12:44:04.000Z,2012-10-13,12,44,04,51.506858,-0.074113,21.96,
2012-10-13T12:44:07.000Z,2012-10-13,12,44,07,51.506858,-0.074113,21.96,
2012-10-13T12:44:10.000Z,2012-10-13,12,44,10,51.506858,-0.074113,21.96,
2012-10-13T12:44:13.000Z,2012-10-13,12,44,13,51.506858,-0.074113,21.96,
2012-10-13T12:44:16.000Z,2012-10-13,12,44,16,51.506858,-0.074113,21.96,
2012-10-13T12:44:19.000Z,2012-10-13,12,44,19,51.506858,-0.074113,21.96,
2012-10-13T12:44:22.000Z,2012-10-13,12,44,22,51.506858,-0.074113,21.96,
2012-10-13T12:44:25.000Z,2012-10-13,12,44,25,51.506858,-0.074113,21.96,
2012-10-13T12:44:28.000Z,2012-10-13,12,44,28,51.506858,-0.074113,21.96,
2012-10-13T12:44:31.000Z,2012-10-13,12,44,31,51.506858,-0.074113,21.96,
2012-10-13T12:44:34.000Z,2012-10-13,12,44,34,51.506858,-0.074113,21.96,
2012-10-13T12:44:37.000Z,2012-10-13,12,44,37,51.506858,-0.074113,21.96,
2012-10-13T12:44:40.000Z,2012-10-13,12,44,40,51.506858,-0.074113,21.96,
2012-10-13T12:44:43.000Z,2012-10-13,12,44,43,51.506858,-0.074113,21.96,
2012-10-13T12:44:46.000Z,2012-10-13,12,44,46,51.506858,-0.074113,21.96,
2012-10-13T12:44:49.000Z,2012-10-13,12,44,49,51.506858,-0.074113,21.96,
2012-10-13T12:44:52.000Z,2012-10-13,12,44,52,51.506858,-0.074113,21.96,
2012-10-13T12:44:55.000Z,2012-10-13,12,44,55,51.506858,-0.074113,21.96,
2012-10-13T12:44:57.961Z,2012-10-13,12,44,57,51.506858,-0.074113,21.96,
2012-10-13T12:45:01.000Z,2012-10-13,12,45,01,51.506858,-0.074113,21.96,
2012-10-13T12:45:04.000Z,2012-10-13,12,45,04,51.506858,-0.074113,21.96,
2012-10-13T12:45:07.000Z,2012-10-13,12,45,07,51.506858,-0.074113,21.96,
2012-10-13T12:45:10.000Z,2012-10-13,12,45,10,51.506858,-0.074113,21.96,
2012-10-13T12:45:13.000Z,2012-10-13,12,45,13,51.506858,-0.074113,21.96,
